transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
17,950.0,433785.90303497977,4004582.145292026,False,12.048226356506348,10.599895477294922,13.290596008300781,2.609999895095825,0.0,121.02308081080874,True,,,,,,,,,,,,,,
17,1000.0,433835.55645798164,4004588.0221605967,False,12.340873718261719,10.999744415283203,13.501523971557617,2.619999885559082,0.0,127.01156821934933,False,,,,,,,,,,,,,,
17,1050.0,433885.2098809835,4004593.8990291674,False,12.61044692993164,11.412141799926758,13.706060409545898,2.630000114440918,0.0,127.01156821934933,True,,,,,,,,,,,,,,
17,1100.0,433934.8633039854,4004599.775897738,False,12.857389450073242,11.789457321166992,13.89830493927002,2.630000114440918,0.0,127.01156821934933,True,,,,,,,,,,,,,,
17,1150.0,433984.5167269872,4004605.652766309,False,13.081796646118164,12.1268949508667,14.098922729492188,2.640000104904175,0.0,134.6011171976414,True,,,,,,,,,,,,,,
17,1200.0,434034.1701499891,4004611.52963488,False,13.269697189331055,12.40038776397705,14.271203994750977,2.6500000953674316,0.0,134.6011171976414,True,,,,,,,,,,,,,,
17,1250.0,434083.82357299095,4004617.4065034506,False,13.457378387451172,12.67000675201416,14.450650215148926,2.6600000858306885,0.0,149.16752194134614,False,,,,,,,,,,,,,,
17,1300.0,434133.4769959928,4004623.2833720213,False,13.631353378295898,12.851523399353027,14.609600067138672,2.6600000858306885,0.0,200.82292238150043,True,,,,,,,,,,,,,,
17,1350.0,434183.13041899464,4004629.1602405924,False,13.791410446166992,13.00882625579834,14.7764310836792,2.6700000762939453,0.0,168.3445630006857,False,,,,,,,,,,,,,,
17,1400.0,434232.7838419965,4004635.037109163,False,13.944365501403809,13.073047637939453,14.979741096496582,2.680000066757202,0.0,168.3445630006857,True,,,,,,,,,,,,,,
17,1450.0,434282.4372649984,4004640.913977734,False,14.058004379272461,13.0824613571167,15.126779556274414,2.680000066757202,0.0,168.3445630006857,True,,,,,,,,,,,,,,
17,1500.0,434332.09068800026,4004646.7908463045,False,14.238434791564941,13.24440860748291,15.303977012634277,2.690000057220459,0.0,122.72056682741334,True,,,,,,,,,,,,,,
17,1550.0,434381.7441110021,4004652.6677148757,False,14.380131721496582,13.387375831604004,15.443620681762695,2.690000057220459,0.0,138.8354930039397,True,,,,,,,,,,,,,,
17,1600.0,434431.39753400395,4004658.5445834463,False,14.515856742858887,13.532235145568848,15.558379173278809,2.700000047683716,0.0,138.8354930039397,True,,,,,,,,,,,,,,
17,1650.0,434481.0509570058,4004664.421452017,False,14.643927574157715,13.672207832336426,15.664281845092773,2.7100000381469727,0.0,134.31607866805814,True,,,,,,,,,,,,,,
17,1700.0,434530.7043800077,4004670.2983205877,False,14.741801261901855,13.797733306884766,15.74215030670166,2.7200000286102295,0.0,119.03758207367079,True,,,,,,,,,,,,,,
17,1750.0,434580.3578030095,4004676.1751891584,False,14.862753868103027,13.943130493164062,15.82773208618164,2.7300000190734863,0.0,125.8340229917246,True,,,,,,,,,,,,,,
17,1800.0,434630.0112260114,4004682.0520577296,False,14.98348617553711,14.092730522155762,15.89780044555664,2.7300000190734863,0.0,144.49472538372035,False,,,,,,,,,,,,,,
17,1850.0,434679.66464901326,4004687.9289263003,False,15.10142993927002,14.24168872833252,15.979373931884766,2.75,0.0,142.0032502336585,True,,,,,,,,,,,,,,
17,1900.0,434729.3180720151,4004693.805794871,False,15.215079307556152,14.402921676635742,16.065521240234375,2.759999990463257,0.0,152.64890726398542,True,,,,,,,,,,,,,,
