bin,partition,fold,gain,M0_s,M0_a,M0_c,M0_offset_ratio,M0_test_nmse,M0_ambiguous,M0_boundary,M1_s,M1_a,M1_c,M1_offset_ratio,M1_test_nmse,M1_ambiguous,M1_boundary
"131,60",alternative,4,-0.175844651414911,0.6090396761955373,"[-498.7376871811248, -290.9762713303989]","[0.0, 0.0]",0.0,0.2436812786517863,False,False,0.6091076876940894,"[-491.947080565198, -285.0257531596245]","[-33.800424953669875, 50.730704449966424]",0.10721900583192963,0.2865313281526495,False,False
"131,60",alternative,5,-0.347641805034123,0.6117385096852361,"[-548.4607071907532, -338.9217893329138]","[0.0, 0.0]",0.0,0.22612098798273061,False,False,0.6097960279002582,"[-520.8100346541488, -338.1782462560403]","[-88.73663406510971, 28.55092032734383]",0.150113836486317,0.30473009640114634,False,False
"131,60",alternative,6,-0.15899886858404222,0.6028108656509236,"[-608.5488411122802, -327.2209444436423]","[0.0, 0.0]",0.0,0.07809587322970926,False,False,0.6007056758227518,"[-589.7470890781238, -323.6411642610414]","[-45.58765814943666, -60.38018128479118]",0.11246537833165669,0.09051302871431582,False,False
"131,60",alternative,7,0.3409815396617162,0.5943460720357674,"[-605.6891128561414, -306.5597626395422]","[0.0, 0.0]",0.0,0.08888070835397484,False,False,0.5927715979895978,"[-601.4237698572175, -314.9895572935773]","[-49.93269832816148, -49.37433273606025]",0.10343198551005998,0.058574027573212534,False,False
"131,64",primary,0,0.2879611578935789,0.4354553022332636,"[874.8669733808537, -506.1502738583055]","[0.0, 0.0]",0.0,0.534411838953577,False,False,0.4431027626780398,"[868.8619186877901, -546.8495503923589]","[179.57001937023978, -44.81356375729606]",0.18027695788887468,0.3805219870164681,False,False
"131,64",primary,1,0.3713376440306013,0.45727818661712244,"[670.5137235174336, -497.7503777038103]","[0.0, 0.0]",0.0,0.16987433044110337,False,False,0.44644884880719443,"[727.0725439099896, -463.75745775798816]","[131.20437559482644, -28.66976541047088]",0.15573139439149633,0.10679359679382817,False,False
"131,64",primary,2,-0.24571642730641252,0.45153292329253764,"[709.2179404024143, -442.98713576522914]","[0.0, 0.0]",0.0,0.10831412658942371,False,False,0.43498321566031173,"[702.6007538558438, -557.8611451246528]","[147.60989806017275, -202.28616186518445]",0.2791280219777491,0.1349286868017914,False,False
"131,64",primary,3,-1.4699366415860413,0.4558018021328355,"[831.4148846483029, -519.0754958364214]","[0.0, 0.0]",0.0,0.23042485224914772,False,False,0.464912348285262,"[884.4398320662877, -490.9544351239433]","[142.34298057926276, -223.1096932612442]",0.2616232015490254,0.5691347857022196,False,False
"131,64",alternative,0,0.17778939150302708,0.4359933555989938,"[860.3807762696766, -500.09774406260027]","[0.0, 0.0]",0.0,1.3921875905321222,False,False,0.44186415343238356,"[868.7856270369697, -541.102854286633]","[180.03495253747002, -50.17292799866474]",0.18260175865249517,1.1446714059533507,False,False
"131,64",alternative,1,0.8173532915427181,0.4490386720602945,"[822.5014552643872, -534.1269686051646]","[0.0, 0.0]",0.0,0.08808773739035597,False,False,0.4387375776272884,"[834.5562565675824, -515.6815577013662]","[149.68766465337603, -108.51721252503364]",0.18846067237962708,0.016088935289797955,False,False
"131,64",alternative,2,0.6814606620453162,0.4606017611377487,"[702.4575025990964, -535.081190856299]","[0.0, 0.0]",0.0,0.16155889450547925,False,False,0.44455023504258395,"[758.7841612377546, -487.4870614046607]","[155.54552007952373, -69.17138613031618]",0.1887517880962673,0.05146286329646597,False,False
"131,64",alternative,3,0.15584609629946244,0.45471164597654284,"[650.0022181496525, -454.7772730210418]","[0.0, 0.0]",0.0,0.19923128055541153,False,False,0.4488915324025228,"[694.6385175302913, -432.7173413059131]","[96.05823989527705, 7.508923875993293]",0.11773230087497852,0.16818186322010764,False,False
