bin,partition,fold,gain,M0_s,M0_a,M0_c,M0_offset_ratio,M0_test_nmse,M0_ambiguous,M0_boundary,M1_s,M1_a,M1_c,M1_offset_ratio,M1_test_nmse,M1_ambiguous,M1_boundary
"131,64",alternative,4,0.36034941848182067,0.4506244962810029,"[678.3649389383652, -431.26216580081376]","[0.0, 0.0]",0.0,0.168471601881253,False,False,0.44191538584669976,"[698.3715098118821, -510.16514953671117]","[91.72125566933107, -138.19299427926993]",0.19177755045874048,0.10776295811264268,False,False
"131,64",alternative,5,-11.232086921303239,0.44987256911134965,"[721.4457213470699, -470.97540174535783]","[0.0, 0.0]",0.0,0.024650186287174223,False,False,0.4259205172222355,"[690.1533698031656, -592.0062117169292]","[215.9946537556734, -223.2552842180022]",0.3416333479492679,0.30152322129103226,False,False
"131,64",alternative,6,-0.257429552768897,0.4554184827599603,"[803.3442269991211, -498.85958267598954]","[0.0, 0.0]",0.0,0.12143039129760222,False,False,0.44780519864118906,"[796.5636928950722, -507.6875332539385]","[159.05733617489796, -167.38455053968718]",0.24444791575356623,0.15269016262189614,False,False
"131,64",alternative,7,-1.2981654355527632,0.4559936237640673,"[830.9585195588166, -518.2092463257696]","[0.0, 0.0]",0.0,0.4227858927932027,False,False,0.46051722745279755,"[884.6383667928413, -513.41964448203]","[139.31740392886545, -201.51711764682392]",0.23951809411706326,0.9716319254566547,False,False
"132,65",primary,0,-1.0295179187701526,0.40947938028976416,"[1125.0855318332322, 570.8791126961263]","[0.0, 0.0]",0.0,1.3407679432871884,False,False,0.4329804122461686,"[1197.1456291097024, 504.3036436782513]","[-47.38928533090095, 321.68372598357513]",0.25030639372686303,2.7211125658139523,False,False
"132,65",primary,1,-0.7822896241730499,0.40293612859382616,"[977.0588032627171, 536.040815121254]","[0.0, 0.0]",0.0,0.13056885115899647,False,False,0.3905636205577581,"[942.1644414173188, 702.6174056716711]","[118.5217350189316, 256.0096300451754]",0.24003447067337033,0.2327115086608747,False,False
"132,65",primary,2,0.1977966157137968,0.4050672910957738,"[827.9586672164927, 443.2043730669025]","[0.0, 0.0]",0.0,0.16641586544849243,False,False,0.40314811317653504,"[876.8317479611864, 446.412481195071]","[88.92637477465631, 57.762943111241384]",0.10777179259126242,0.13349937046169805,False,False
"132,65",primary,3,-0.4397640309058961,0.4013510223863965,"[929.8001983419606, 496.70487547884983]","[0.0, 0.0]",0.0,0.08709624709394534,False,False,0.39584823330358393,"[922.8833616861036, 503.61101736823855]","[104.97130545947248, 212.9621756941346]",0.22583107008077458,0.12539804379275468,False,False
"132,65",alternative,0,-1.0050484396246198,0.40824149553273614,"[1080.332803536331, 556.6758091282973]","[0.0, 0.0]",0.0,2.3844821349729304,False,False,0.4231732902425133,"[1139.576295412279, 544.3363690581241]","[-8.920877785479178, 302.2374865734207]",0.23942294351078872,4.781002184040256,False,False
"132,65",alternative,1,0.3194162803059507,0.40208486411324595,"[1086.2897487548848, 602.0237835513291]","[0.0, 0.0]",0.0,0.6323825106534046,False,False,0.40891284697708685,"[1087.7604337730775, 584.042732887024]","[8.879252884194543, 158.44548213823606]",0.12853500656436942,0.4303892413699558,False,False
"132,65",alternative,2,-0.6125926909327053,0.40369539490908873,"[1045.734448183241, 563.0083601164046]","[0.0, 0.0]",0.0,0.5034534089050879,False,False,0.39216097858968557,"[1023.7761777809784, 686.402195446235]","[168.00696235066928, 168.75536869346152]",0.19319359510253523,0.8118652874254993,False,False
"132,65",alternative,3,-0.5466757625678107,0.40509453747810414,"[928.6044069991838, 484.4351954738433]","[0.0, 0.0]",0.0,0.08606842028605015,False,False,0.39455794477778533,"[890.7964766649211, 649.3117909026283]","[29.68565359050376, 261.12707233225893]",0.23841301149465474,0.13311993957893342,False,False
"132,65",alternative,4,0.30963178568428285,0.4044559049449698,"[833.4145396811292, 450.9567260324736]","[0.0, 0.0]",0.0,0.1420724936469982,False,False,0.4021450177007413,"[831.7007584603564, 521.0877586379939]","[-33.01092619597298, 120.44637026458655]",0.12724765125511994,0.09808233374245921,False,False
"132,65",alternative,5,-0.06271208866437283,0.40621226131621363,"[812.8992100133032, 450.3038229791949]","[0.0, 0.0]",0.0,0.18938332327912785,False,False,0.400822930932074,"[876.1488080437251, 427.682634666168]","[165.46239488792065, 81.19002036962571]",0.189041899937289,0.2012599470401621,False,False
"132,65",alternative,6,-0.3918539423701912,0.41295722215719144,"[857.7115669722964, 497.96486505130963]","[0.0, 0.0]",0.0,0.13869424791741983,False,False,0.4031832389617248,"[880.8850623997674, 483.04910530131895]","[177.61819036612576, 180.7328602347605]",0.25223249855072294,0.19304213574792947,False,False
"132,65",alternative,7,0.012043944956049213,0.4006028011281027,"[966.8368846600125, 513.0642549168357]","[0.0, 0.0]",0.0,0.08772797645625073,False,False,0.3982387536474388,"[952.9563767378004, 537.2234596549731]","[67.41254320475551, 199.21536757468698]",0.19224960208406527,0.08667138553670606,False,False
"133,64",primary,0,0.2098946173970051,0.33541788856437316,"[653.188857334831, -129.80767681614796]","[0.0, 0.0]",0.0,1.604872784320437,False,False,0.37647306929574026,"[626.7501862042736, -199.40864181846368]","[208.9667129515282, 65.67107054045238]",0.3330397657022369,1.2680186252846326,False,False
"133,64",primary,1,0.048473234590945546,0.34678901829292064,"[540.3435761909734, -149.33387390918392]","[0.0, 0.0]",0.0,0.19756638759243839,False,False,0.35030482578456906,"[635.0894274272075, -88.28711543325555]","[250.4648406286255, 16.892030019251834]",0.39150828506170854,0.18798970573938445,False,False
"133,64",primary,2,0.6177610956542565,0.34231966088206606,"[472.5317351276459, -72.663593651822]","[0.0, 0.0]",0.0,0.25074677118016875,False,False,0.3511951297587449,"[539.2932759128927, -112.833903133626]","[168.15748722280256, 1.8681849545247644]",0.30522105857766413,0.09584517108414055,False,False
"133,64",primary,3,-0.07608853213976885,0.32927348898737446,"[572.2162065536778, -133.71485425657625]","[0.0, 0.0]",0.0,0.1981128111418536,False,False,0.3439495182034943,"[564.9048411682858, -142.5585189778781]","[229.72344686446817, 39.34995627101925]",0.4000398258933067,0.2131869241397205,False,False
"133,64",alternative,0,0.09635144464153744,0.33150416868022764,"[628.2747400061425, -112.76290977111663]","[0.0, 0.0]",0.0,1.3884780822260128,False,False,0.37081160458262075,"[619.5264230850852, -175.71544617396574]","[217.7397314291946, 57.186229618505095]",0.349591415484969,1.2546962131504251,False,False
"133,64",alternative,1,0.7025955695473448,0.34403923727053765,"[635.2237344797694, -154.34805755509566]","[0.0, 0.0]",0.0,1.6603629685947645,False,False,0.3537620233129705,"[633.420811452986, -138.66989858895698]","[181.27615843853695, 10.361934956547788]",0.2800213883021607,0.4937993030196058,False,False
