phase,family,replicate,axis,separation_bins,ratio,truth_s,ols_s,circular_s,agreement,r2,phase_rmse,m1_gain,amplitude_correlation,persistent_score,relative_slope_error,distorted_over_10pct,frozen_criteria_pass
calibration,B_slow,1,radial,2.223,0.3,0.4,0.39832345078651216,0.39688259203405857,0.0014408587524535887,0.9993718296886217,0.06494613496736777,0.002067878940073542,0.4622942933208634,False,0.004191373033719664,False,True
calibration,B_slow,2,radial,2.223,0.3,0.4,0.4021945133047549,0.40263632639048963,0.00044181308573471023,0.9992351171816338,0.07236724399306683,6.922516664031875e-05,-0.030328301232007082,False,0.005486283261887243,False,True
calibration,B_slow,3,radial,2.223,0.3,0.4,0.3985339928042102,0.4002454798725064,0.0017114870682962136,0.999635572137883,0.04948716662887989,0.0004008829354625876,-0.002952529342607121,False,0.0036650179894745505,False,True
calibration,B_slow,4,radial,2.223,0.7,0.4,0.4009655784235411,0.40166772514524723,0.0007021467217061539,0.9992823349917241,0.06988213348542266,6.861444596484301e-05,0.04341451872426027,False,0.002413946058852645,False,True
calibration,B_slow,5,radial,2.223,0.7,0.4,0.40857487009568577,0.409403245207162,0.0008283751114762095,0.9997390601628591,0.04292801408487547,0.00018426465002341352,0.14324892509323345,False,0.021437175239214373,False,True
calibration,B_slow,6,radial,2.223,0.7,0.4,0.3997247380152682,0.3990854768155426,0.000639261199725627,0.9990521380412246,0.08007220348727535,0.000938938367630926,0.02622197371633989,False,0.0006881549618295568,False,True
calibration,B_slow,7,radial,2.223,0.7,0.4,0.39925804429223244,0.400100887232078,0.000842842939845545,0.999172537023049,0.07472226015677538,0.00045254906124203576,0.1697283203796032,False,0.0018548892694189578,False,True
evaluation,A,0,radial,3.0,1.0,,0.3961700337800458,0.39662797997899363,0.00045794619894784505,0.9992725887040844,0.06951394549711486,3.9154911716687835e-05,0.29849665461456165,False,,False,True
evaluation,A,1,radial,3.0,1.0,,0.3880377145584006,0.3875830168921413,0.0004546976662592739,0.9993212029161642,0.06577088023482885,0.003279098683554693,0.14849937792378243,False,,False,True
evaluation,A,2,radial,3.0,1.0,,0.396888799250803,0.3983971860170448,0.0015083867662418204,0.9991013779690678,0.0774096097156409,0.00014675965159982596,0.04085068525375285,False,,False,True
evaluation,A,3,radial,3.0,1.0,,0.40011258507842795,0.40208842434600534,0.001975839267577384,0.9989433658470176,0.08462844939839234,0.005632673045141812,0.7169748377807452,False,,False,True
evaluation,A,4,radial,3.0,1.0,,0.39879137512464424,0.4000384203574446,0.0012470452328003367,0.9991584490708456,0.07526811843476469,0.00027075144540533724,0.2834034666950783,False,,False,True
evaluation,A,5,radial,3.0,1.0,,0.3953461896210588,0.39658883369951964,0.0012426440784608639,0.9996732494896284,0.046483513001769755,0.000659872220883595,0.1976028445248972,False,,False,True
evaluation,A,6,radial,3.0,1.0,,0.3969367644156979,0.39731607688870424,0.0003793124730063213,0.999408178650902,0.06281848709977104,0.00019974658720367522,0.27179428041893,False,,False,True
evaluation,A,7,radial,3.0,1.0,,0.39444621735094015,0.39440794944827884,3.82679026613153e-05,0.9996630514478514,0.047096112038420665,0.00033600486540830143,-0.11883473098240233,False,,False,True
evaluation,A,0,tangential,1.452,1.0,,0.39689559248845657,0.39712426679079177,0.0002286743023351967,0.9991852806409112,0.07370544346101478,2.829415207161734e-05,0.0514842812945033,False,,False,True
evaluation,A,1,tangential,1.452,1.0,,0.40821315628296384,0.4094462161943421,0.001233059911378287,0.9989820805042379,0.0847436465395861,0.0030534470721701457,0.049790014907142494,False,,False,True
evaluation,A,2,tangential,1.452,1.0,,0.3979330133174256,0.3978656537494691,6.735956795650422e-05,0.9988607953795413,0.08739782782511572,1.5386426676311515e-05,0.3473459260923751,False,,False,True
evaluation,A,3,tangential,1.452,1.0,,0.3925637265825557,0.3937410772894988,0.001177350706943081,0.9993204868748067,0.06657313064999383,0.0018520707093695465,0.3600227819776563,False,,False,True
