crop_row,crop_col,fft_bin_offset_row,fft_bin_offset_col,k_east_cycles_per_m,k_north_cycles_per_m,kx_range_cycles_per_m,ky_azimuth_cycles_per_m,k_magnitude_cycles_per_m,kx_range_rad_per_m,ky_azimuth_rad_per_m,k_magnitude_rad_per_m,wavelength_m,wavevector_bearing_deg,wavevector_bearing_deg_mod_180,angle_from_local_range_axis_deg,angle_from_local_azimuth_axis_deg,slope_rad_per_s,slope_ols_standard_error_rad_per_s,slope_hac4_standard_error_rad_per_s,slope_selected_standard_error_rad_per_s,fit_residual_rmse_rad,fit_r_squared,minimum_adjacent_coherence,minimum_independent_anchor_coherence,end_to_end_coherence_look1_look11,mean_local_power,power_relative_to_frozen_peak,hemisphere_relative_to_frozen_wavevector,aligned_slope_rad_per_s,expected_omega_rad_per_s_h13_33_compatibility,bias_vs_h13_33_dispersion_rad_per_s,expected_omega_rad_per_s_h17_902_compatibility,bias_vs_h17_902_dispersion_rad_per_s,high_quality_flag,frozen_peak_lobe_flag,conjugate_peak_lobe_flag
62,67,-2,3,0.002567921124409448,-0.006165154028491538,-0.003714430004607603,0.005532170836321534,0.006678573432718527,-0.023338452029497494,0.03475965451558287,0.04196271446537698,149.73257538817657,157.3872072531064,157.3872072531064,56.20857994990996,34.070775674946674,0.01734336634293887,0.009478904005920556,0.011379939730191543,0.011379939730191543,0.10414411088625633,0.2711211437618718,0.8907518724792337,0.25723731494759006,0.25723731494759006,727404672696.8408,0.13313863019733524,1,0.01734336634293887,0.41501979875294015,0.432363165095879,0.3069802995936195,0.32432366593655837,False,False,False
63,53,-1,-11,0.0057528187126221954,0.01953107491028029,-0.001857215002303801,-0.020284626399845625,0.020360692775327573,-0.011669226014748743,-0.12745206655713717,0.12793000568993576,49.114242380385384,16.412177021747567,16.412177021747567,84.76645028144887,4.954194093694497,-0.09211785291271452,0.007348801163742727,0.005508375688570397,0.007348801163742727,0.08074080746042386,0.9458250284912317,0.7576737275517267,0.3161490715124055,0.37655915540801693,4786156871.237372,0.0008760218261777398,1,-0.09211785291271452,1.0484997338188782,0.9563818809061637,0.8756264634147647,0.7835086105020501,False,False,False
63,65,-1,1,0.0014627148882214226,-0.002178030937264727,-0.0018572150023038014,0.001844056945440512,0.0026236146073512537,-0.011669226014748747,0.011586551505194293,0.016484656752611137,381.1535418342479,146.11560962057675,146.11560962057675,44.93698231738031,45.34237330747632,0.031210175180028103,0.001991426504397771,0.002006987951786359,0.002006987951786359,0.021879675389295167,0.9646532181009914,0.9732072758888696,0.4027478582961208,0.4027478582961208,1465245872511.8562,0.2681874831038257,1,0.031210175180028103,0.16743297601964763,0.19864315119967574,0.1215082780278538,0.1527184532078819,True,False,False
63,66,-1,2,0.001105206236188025,-0.003987123091226812,-0.0018572150023038016,0.0036881138908810233,0.004137466781631359,-0.011669226014748749,0.023173103010388583,0.025996470491289763,241.69378336512244,164.50695052003,164.50695052003,63.32832321683355,26.95103240802308,0.01951903207995767,0.0010008449876872892,0.0010276151720479399,0.0010276151720479399,0.010996219743606978,0.9768845250748511,0.9622845585012042,0.4855424253001812,0.4855424253001812,1305224771182.7085,0.2388984352968549,1,0.01951903207995767,0.2620915113703423,0.2816105434503,0.19122457029873874,0.2107436023786964,True,False,False
63,67,-1,3,0.0007476975841546273,-0.0057962152451888965,-0.0018572150023038018,0.005532170836321534,0.005844241853817383,-0.011669226014748749,0.03475965451558287,0.03672045454750937,171.10859287023055,172.64957652980905,172.64957652980905,71.47094922661262,18.808406398244017,-0.008001927244531052,0.0043593474387842186,0.004561200212031031,0.004561200212031031,0.0478958709543731,0.2723951202256105,0.9266163749139189,0.43869420033688994,0.43869420033688994,883381846734.6191,0.1616875082468113,-1,0.008001927244531052,0.3657867651315155,0.3737886923760465,0.26918837894941305,0.2771903061939441,False,False,False
63,68,-1,4,0.00039018893212122946,-0.007605307399150982,-0.0018572150023038018,0.0073762277817620465,0.007615310107824276,-0.011669226014748749,0.046346206020777166,0.04784840457909768,131.31441606988005,177.06302538813293,177.06302538813293,75.88439808493649,14.394957539920142,-0.046890903432655826,0.00917017117295167,0.009289514012522723,0.009289514012522723,0.10075208303463372,0.743932822677797,0.8785169276302084,0.29681462077306453,0.29681462077306453,418124067926.2597,0.07653025577887733,-1,0.046890903432655826,0.4689991001400576,0.5158900035727134,0.3491137566229892,0.39600466005564505,False,False,False
64,60,0,-4,0.001430034608133591,0.00723636861584834,4.336808689942018e-19,-0.0073762277817620465,0.0073763154572519885,2.7248972640692436e-18,-0.046346206020777166,0.04634675690212737,135.5690392846275,11.178627303196421,11.178627303196421,90.0,0.2793556248566489,0.041199527691379155,0.00969414274772896,0.010299770977204343,0.010299770977204343,0.1065089251495838,0.6674302509705294,0.877294588175942,0.2625253908493429,0.2625253908493429,363814772690.14966,0.06658989459325175,1,0.041199527691379155,0.4553631811533861,0.4965627088447652,0.3383958712690225,0.3795953989604016,False,False,False
64,61,0,-3,0.0010725259561001931,0.005427276461886255,2.168404344971009e-19,-0.005532170836321535,0.005532236592938992,1.3624486320346218e-18,-0.03475965451558287,0.03476006767659553,180.75871904617,11.17862730319642,11.17862730319642,90.0,0.2793556248566489,0.02186045110082202,0.004706699457241865,0.004781300697821529,0.004781300697821529,0.05171220532216744,0.7056105361533946,0.9260487300997862,0.40799763076974405,0.40799763076974405,797814073178.8545,0.14602583244534412,1,0.02186045110082202,0.3471149363069946,0.3689753874078166,0.25499770806458416,0.2768581591654062,False,False,False
64,62,0,-2,0.0007150173040667955,0.00361818430792417,2.168404344971009e-19,-0.0036881138908810233,0.0036881577286259942,1.3624486320346218e-18,-0.023173103010388583,0.023173378451063684,271.138078569255,11.178627303196421,11.178627303196421,90.0,0.2793556248566489,0.004382265886507608,0.0014474554347046103,0.0012279635321987927,0.0014474554347046103,0.015903100105311343,0.5045731151834673,0.961252796491575,0.5097759121566283,0.5097759121566283,1302066930010.9673,0.23832044801719166,1,0.004382265886507608,0.23422183713486067,0.23860410302136828,0.1705792111113264,0.17496147699783401,False,False,False
64,66,0,2,-0.0007150173040667955,-0.00361818430792417,-2.168404344971009e-19,0.0036881138908810233,0.0036881577286259942,-1.3624486320346218e-18,0.023173103010388583,0.023173378451063684,271.138078569255,191.1786273031964,11.178627303196407,89.99999999999997,0.2793556248566631,-0.0043822658865076075,0.0014474554347046094,0.0012279635321987869,0.0014474554347046094,0.015903100105311332,0.5045731151834676,0.9612527964915747,0.5097759121566283,0.5097759121566283,1302066930010.967,0.2383204480171916,-1,0.0043822658865076075,0.23422183713486067,0.23860410302136828,0.1705792111113264,0.17496147699783401,False,False,False
