run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,2,600.0,430505.3377260226,4012003.6191659956,7.597503662109375,8m-array,8.0,85.4297963425361,85.33333333333324,True,115.44431094563936,-0.25999128373884584,-0.26082686418809176,0.15355214476585388,0.0
near,2,650.0,430553.73873174045,4012016.1627956736,7.992412567138672,8m-array,8.0,86.19246462600134,93.09090909090897,True,97.28245621750416,-0.11399785760659475,-0.04308636201807792,0.15355214476585388,0.0
near,2,700.0,430602.1397374583,4012028.706425352,8.369308471679688,8m-array,8.0,91.82829122472707,93.09090909090897,True,110.67623319696065,-0.1702980073300071,-0.15888979592173735,0.15355214476585388,0.0
near,2,750.0,430650.5407431762,4012041.25005503,8.743614196777344,8m-array,8.0,110.93338246846024,113.08188270064278,True,109.80757018383281,0.01025259262856526,0.029818641022001824,0.15355214476585388,0.0
near,2,800.0,430698.94174889405,4012053.793684708,9.102794647216797,8m-array,8.0,115.90466856827383,119.85013472883753,True,120.63406232323929,-0.03920446401193911,-0.006498393399877567,0.15355214476585388,0.0
near,2,850.0,430747.3427546119,4012066.337314386,9.463018417358398,8m-array,8.0,107.7826894547633,127.12026448932349,True,124.43631307067201,-0.1338325060020904,0.021568876097503464,0.23201750218868256,0.0
near,2,1600.0,431473.35784037993,4012254.491759556,15.124423027038574,waverider-17m,18.0,130.89350566643463,127.01156821934926,True,134.29508196721298,-0.02532912040374502,-0.05423514875728608,0.300119549036026,0.9006092916984006
near,2,1650.0,431521.7588460978,4012267.0353892343,15.347333908081055,waverider-17m,18.0,163.19003756814976,142.0032502336585,False,134.29508196721298,0.21516019185267887,0.05739724905434285,0.300119549036026,0.9668697638994669
near,2,1700.0,431570.1598518156,4012279.5790189123,15.491744041442871,waverider-17m,18.0,159.54805092635223,127.99999999999986,True,134.29508196721295,0.18804090655609107,-0.04687499999999989,0.300119549036026,0.9771428571428571
near,2,1750.0,431618.5608575335,4012292.1226485902,15.605308532714844,waverider-17m,18.0,89.41400556684053,127.99999999999986,True,134.29508196721295,-0.3341974683133204,-0.04687499999999989,0.300119549036026,0.9851485148514851
near,2,1800.0,431666.96186325134,4012304.666278268,15.644617080688477,waverider-17m,18.0,104.24846653408443,127.99999999999986,False,134.29508196721298,-0.22373578386484905,-0.04687500000000011,0.300119549036026,0.9870525514089871
near,2,1850.0,431715.3628689692,4012317.209907946,15.638038635253906,waverider-17m,18.0,175.1527958909187,190.15202629330105,False,122.26865671641777,0.4325240874867635,0.5551984572328108,0.300119549036026,0.9931428571428571
near,2,1900.0,431763.7638746871,4012329.753537624,15.62802791595459,waverider-17m,18.0,155.01824588738134,190.15202629330105,True,134.29508196721298,0.15431066883914446,0.4159269536000214,0.300119549036026,1.0
