acquisition_key,bin_index,frequency_hz,band_width_hz,spectral_wave_density,valid_spectral_wave_density,mean_wave_dir,valid_mean_wave_dir,principal_wave_dir,valid_principal_wave_dir,wave_spectrum_r1,valid_wave_spectrum_r1,wave_spectrum_r2,valid_wave_spectrum_r2,valid_joint
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,20,0.125,0.0050000000000000044,0.023,True,188.0,True,188.0,True,0.88,True,0.63,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,21,0.13,0.0050000000000000044,0.027,True,184.0,True,184.0,True,0.86,True,0.55,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,22,0.135,0.0050000000000000044,0.05,True,184.0,True,188.0,True,0.89,True,0.64,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,23,0.14,0.0050000000000000044,0.063,True,184.0,True,188.0,True,0.9,True,0.65,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,24,0.145,0.004999999999999977,0.052,True,176.0,True,172.0,True,0.82,True,0.4,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,25,0.15,0.0050000000000000044,0.057,True,172.0,True,160.0,True,0.8,True,0.35,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,26,0.155,0.0050000000000000044,0.043,True,176.0,True,148.0,True,0.71,True,0.19,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,27,0.16,0.0050000000000000044,0.061,True,172.0,True,160.0,True,0.8,True,0.4,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,28,0.165,0.0050000000000000044,0.046,True,184.0,True,180.0,True,0.77,True,0.23,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,29,0.17,0.004999999999999977,0.027,True,188.0,True,240.0,True,0.67,True,0.13,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,30,0.175,0.0050000000000000044,0.026,True,192.0,True,248.0,True,0.63,True,0.18,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,31,0.18,0.0050000000000000044,0.026,True,164.0,True,132.0,True,0.67,True,0.23,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,32,0.185,0.0050000000000000044,0.034,True,144.0,True,132.0,True,0.82,True,0.63,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,33,0.19,0.0050000000000000044,0.048,True,152.0,True,144.0,True,0.81,True,0.55,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,34,0.195,0.0050000000000000044,0.045,True,168.0,True,164.0,True,0.79,True,0.38,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,35,0.2,0.0050000000000000044,0.021,True,184.0,True,204.0,True,0.71,True,0.28,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,36,0.205,0.004999999999999977,0.013,True,176.0,True,148.0,True,0.68,True,0.3,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,37,0.21,0.0050000000000000044,0.013,True,180.0,True,152.0,True,0.68,True,0.25,True,True
