run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,24,600.0,432098.930727229,4007625.5707867728,7.969449520111084,8m-array,8.0,112.45934672562124,108.7639778974942,True,102.70419828469566,0.09498295691753844,0.059002258077131886,0.15355214476585388,0.0
near,24,650.0,432145.773055613,4007643.057818298,8.371892929077148,8m-array,8.0,142.18185136180682,113.77777777777767,True,105.10963927750257,0.35270040254280577,0.08246758869935933,0.15355214476585388,0.0
near,24,700.0,432192.6153839969,4007660.5448498237,8.74412727355957,8m-array,8.0,147.22453119038562,113.77777777777767,True,113.86546014453768,0.29296918489156276,-0.0007700523639803114,0.15355214476585388,0.0
near,24,750.0,432239.45771238086,4007678.031881349,9.084986686706543,8m-array,8.0,136.25737314804658,116.29542876481575,True,110.95112432966309,0.22808465413286316,0.04816809624455387,0.15355214476585388,0.0
near,24,800.0,432286.30004076485,4007695.518912874,9.398180961608887,8m-array,8.0,119.01169478831028,103.12441529737728,False,111.43709792881596,0.06797195009809776,-0.07459528995226228,0.15355214476585388,0.0
near,25,550.0,432132.9379395104,4007392.006555761,7.464044570922852,8m-array,8.0,111.27978463788581,113.77777777777767,True,101.29151281131796,0.09860916822491972,0.12327059414858055,0.15355214476585388,0.0
near,25,600.0,432179.7677750334,4007409.5270153694,7.891232967376709,8m-array,8.0,112.42870262323913,113.77777777777767,True,105.2100845889665,0.06861146497956216,0.08143414409638905,0.15355214476585388,0.0
near,25,650.0,432226.59761055646,4007427.0474749776,8.280759811401367,8m-array,8.0,142.74194387276873,113.77777777777767,True,108.12468785127709,0.320160517541626,0.05228306355229684,0.15355214476585388,0.0
near,25,700.0,432273.42744607956,4007444.567934586,8.660379409790039,8m-array,8.0,147.7593921684278,108.7639778974942,True,105.12404547876262,0.4055717842239859,0.03462511742346264,0.15355214476585388,0.0
near,25,750.0,432320.2572816026,4007462.0883941944,9.008467674255371,8m-array,8.0,149.8968561916548,142.00325023365838,True,119.88764044360549,0.25031117166882155,0.1844694724845799,0.15355214476585388,0.0
near,25,800.0,432367.08711712563,4007479.6088538026,9.329028129577637,8m-array,8.0,119.68455867065326,102.39999999999988,True,112.21917808219166,0.06652499791964073,-0.08750000000000013,0.15355214476585388,0.0
near,26,550.0,432214.26251763385,4007173.692612791,7.4532318115234375,8m-array,8.0,141.50544684292325,111.06839440315186,True,115.23335388679595,0.22799035235871656,-0.036143697490014115,0.15355214476585388,0.0
near,26,600.0,432261.15098793036,4007191.055543225,7.882277965545654,8m-array,8.0,141.8638336810947,108.7639778974942,True,110.37705257527486,0.28526564508819896,-0.014614221345334188,0.15355214476585388,0.0
near,26,650.0,432308.03945822694,4007208.4184736586,8.289422035217285,8m-array,8.0,146.3994444216239,108.7639778974942,True,109.44391745331683,0.3376663393291859,-0.006212675602667916,0.15355214476585388,0.0
near,26,700.0,432354.9279285235,4007225.7814040924,8.670217514038086,8m-array,8.0,152.61668230437311,127.01156821934933,True,115.2832650424257,0.32384073480403464,0.10173465483136224,0.15355214476585388,0.0
near,26,750.0,432401.81639882,4007243.1443345263,9.020058631896973,8m-array,8.0,155.49423208966337,142.00325023365838,True,120.7140041506615,0.28812090348351926,0.1763610297975542,0.15355214476585388,0.0
near,27,600.0,432341.8781392388,4006971.4468701174,7.89796257019043,8m-array,8.0,130.0645848641482,113.77777777777767,True,102.15170069773572,0.27324933384130334,0.11381187978889562,0.15355214476585388,0.0
near,27,650.0,432388.8476205552,4006988.5894435784,8.309929847717285,8m-array,8.0,147.03276714427338,113.77777777777767,True,106.82487695208073,0.37639069980140505,0.06508690694599029,0.15355214476585388,0.0
near,27,700.0,432435.81710187165,4007005.73201704,8.693961143493652,8m-array,8.0,157.023250479011,113.77777777777767,True,108.48897135653756,0.44736601809017684,0.048749714879856354,0.15355214476585388,0.0
near,27,750.0,432482.7865831881,4007022.8745905007,9.055288314819336,8m-array,8.0,157.30963401970735,113.77777777777767,True,120.61871344492938,0.30418928810353996,-0.05671537584651043,0.15355214476585388,0.0
near,28,600.0,432421.36005176604,4006752.5450663706,7.8614182472229,8m-array,8.0,126.9560279188898,100.4114611907501,True,105.77324102183142,0.200266028462589,-0.0506912691648983,0.15355214476585388,0.0
near,28,650.0,432468.37754851766,4006769.5555043197,8.274195671081543,8m-array,8.0,341.333333333333,255.99999999999972,False,110.27475471306607,2.095298957784846,1.3214742183386345,0.15355214476585388,0.0
near,28,700.0,432515.3950452692,4006786.565942269,8.662874221801758,8m-array,8.0,156.52404323253543,113.77777777777767,True,111.54652652206039,0.40321754619208083,0.02000287526009159,0.15355214476585388,0.0
near,28,750.0,432562.41254202084,4006803.5763802174,9.020340919494629,8m-array,8.0,154.4250219233055,113.77777777777767,True,115.74382663841953,0.33419661685909996,-0.016986209266985353,0.15355214476585388,0.0
near,29,600.0,432499.9219512545,4006535.365303815,7.810712814331055,8m-array,8.0,130.8261324689718,100.4114611907501,True,105.18329534362702,0.2437919162122777,-0.045366844015369945,0.15355214476585388,0.0
near,32,600.0,432736.81792645634,4005888.4442938683,7.985832691192627,8m-array,8.0,121.04155223414006,87.48622415019622,True,113.48161077687556,0.06661820717480516,-0.22907135745359442,0.15355214476585388,0.0
near,32,650.0,432783.7171742848,4005905.778091869,8.380888938903809,8m-array,8.0,126.07991644951863,94.31125399227123,True,109.20653815458249,0.15450886531218289,-0.13639553468151233,0.15355214476585388,0.0
near,32,700.0,432830.61642211326,4005923.1118898694,8.688676834106445,8m-array,8.0,270.6225912567925,97.68895661068846,True,112.17139635466405,1.4125811040199294,-0.12910991763162993,0.15355214476585388,0.0
near,33,600.0,432815.0038928205,4005678.8718632204,8.00869369506836,8m-array,8.0,276.23993394372565,87.9511041506101,True,104.51751239652478,1.6430014225339584,-0.1585036599710108,0.15355214476585388,0.0
near,33,650.0,432861.7551374958,4005696.6009670133,8.388102531433105,8m-array,8.0,341.333333333333,93.3807621299308,True,107.05332809688213,2.188442054080093,-0.12771733686390208,0.15355214476585388,0.0
