transect,distance_m,xFRF,yFRF,wavelength_m,wavelength_smoothed_m,axial_bearing_deg,near_pier,h_wr17,h_wr17_lo,h_wr17_hi,h_awac,h_awac_lo,h_awac_hi
2,2000.0,2136.4079069012723,2090.3328800986133,100.91295959570625,103.05697988418494,93.01278750418334,False,8.515492410332675,13.012265052173413,6.882193566907072,10.49882821747721,13.012265052173413,8.515492410332675
2,2050.0,2186.401499307593,2092.1755443215857,96.95856829611125,97.70002756077713,90.86805144974556,False,7.581012595237387,11.42515126883741,6.147658790978908,9.297937248421151,11.42515126883741,7.581012595237387
2,2100.0,2236.3951938436207,2094.017911777289,96.95856829611125,97.70002756077713,90.86805144974556,False,7.581012595237387,11.42515126883741,6.147658790978908,9.297937248421151,11.42515126883741,7.581012595237387
2,2150.0,2286.388990510556,2095.8599824611797,95.97001405517976,96.62905021580076,91.43209618416465,False,7.402329393129667,11.127599984849736,6.0065840037695635,9.06995439193885,11.127599984849736,7.402329393129667
2,2350.0,2486.365198367013,2103.225297406899,94.7498509052935,94.7498509052935,92.12109639666147,False,7.095167334139357,10.620264556448927,5.76361052919181,8.679229447542284,10.620264556448927,7.095167334139357
2,2400.0,2536.359505607589,2105.065884181915,94.7498509052935,94.7498509052935,92.12109639666147,False,7.095167334139357,10.620264556448927,5.76361052919181,8.679229447542284,10.620264556448927,7.095167334139357
2,2450.0,2586.353914952257,2106.906174164869,94.7498509052935,94.97592563068942,92.12109639666147,False,7.131694926205423,10.680326275734188,5.7925352789784235,8.725616762415383,10.680326275734188,7.131694926205423
2,2500.0,2636.3484263946843,2108.7461673528587,94.7498509052935,99.52362377159737,92.12109639666147,False,7.8914263157561475,11.946457309106691,6.3922650505782865,9.695227224241954,11.946457309106691,7.8914263157561475
2,2550.0,2686.3430399287845,2110.5858637437304,95.88022453227308,104.08263378794229,92.86240522611175,False,8.70236519156103,13.336277511264377,7.028417523489965,10.740768236044092,13.336277511264377,8.70236519156103
2,2600.0,2736.3377555550346,2112.4252633348383,117.48834160983328,107.85396045402142,60.68999292908386,False,9.41234878455261,14.589286220022721,7.5819097400595,11.66569554245033,14.589286220022721,9.41234878455261
2,2650.0,2786.332573265643,2114.264366122929,117.54490098701812,112.7044188123688,61.342882543441874,False,10.380428035021279,16.359486949739395,8.331276018445058,12.942264408350038,16.359486949739395,10.380428035021279
2,2700.0,2836.3274930571843,2116.103172101657,113.6064842356891,116.84933486203718,60.78075330951541,False,11.259421756520767,18.037419582560716,9.006227063782028,14.11794329206558,18.037419582560716,11.259421756520767
2,2750.0,2886.322514924062,2117.941681270368,119.00214269703041,116.67262749619351,59.688786773318384,False,11.220936325327726,17.962400014437723,8.976785837805398,14.06611956881962,17.962400014437723,11.220936325327726
2,2800.0,2936.317638865295,2119.779893626065,116.60480478061494,116.9326505854525,59.93141717813756,False,11.277599124923535,18.07290475397302,9.020129142813936,14.142431970915307,18.07290475397302,11.277599124923535
2,2850.0,2986.31286487455,2121.6178091658453,116.60480478061494,117.53231469443767,59.93141717813756,False,11.409035697296007,18.33049540064042,9.12058420027181,14.319723001809427,18.33049540064042,11.409035697296007
2,2900.0,3036.30819294671,2123.455427886408,118.84501643331316,118.00301386779843,58.67130713219584,False,11.51295377437485,18.535424073977662,9.199922714985936,14.460169289362305,18.535424073977662,11.51295377437485
2,2950.0,3086.3036230790863,2125.2927497836563,116.60480478061494,118.95318062444228,59.93141717813756,False,11.724751045526476,18.9566564611262,9.361391837676562,14.747175190476202,18.9566564611262,11.724751045526476
2,3000.0,3136.2991552677763,2127.129774853891,121.35563856383418,119.90334738108614,58.570434385161505,False,11.939288375387292,19.388372373721115,9.524630924377957,15.038950466590387,19.388372373721115,11.939288375387292
2,3050.0,3186.2947895054776,2128.966503095357,121.35563856383418,120.40547180719034,58.570434385161505,False,12.053782339236024,19.62091322500818,9.611616100989183,15.195107021649095,19.62091322500818,12.053782339236024
2,3100.0,3236.2905257907173,2130.802934503559,121.35563856383418,121.35563856383416,58.570434385161505,False,12.272582818741332,20.06959749818683,9.777589885305272,15.494396564936737,20.06959749818683,12.272582818741332
2,3150.0,3286.2863641193603,2132.6390690781923,121.35563856383418,121.35563856383416,58.570434385161505,False,12.272582818741332,20.06959749818683,9.777589885305272,15.494396564936737,20.06959749818683,12.272582818741332
2,3200.0,3336.282304485797,2134.4749068144583,121.35563856383418,121.94942892741331,58.570434385161505,False,12.410757779428513,20.35593903503158,9.882229776374874,15.68399906113615,20.35593903503158,12.410757779428513
2,3250.0,3386.2783468878183,2136.310447705615,121.35563856383418,123.63773169469223,58.570434385161505,False,12.80977545794095,21.19648640858567,10.183642826179959,16.234187837629065,21.19648640858567,12.80977545794095
2,3300.0,3436.274491316674,2138.145691753699,124.3245903817298,126.1699887919008,60.94539590092286,False,13.425750058252506,22.537126763169763,10.64669433296814,17.09157867462458,22.537126763169763,13.425750058252506
2,3350.0,3486.270737773566,2139.9806389541677,129.79715240022878,128.70224588910938,59.534455080540134,False,14.063495395583807,23.987016761570217,11.123195144686255,17.990131169792065,23.987016761570217,14.063495395583807
2,3400.0,3536.2670862504574,2141.8152893030197,134.01692404987702,131.23450298631795,60.75117366345304,False,14.723955473505143,25.565077945407193,11.613488148576767,18.933090169134626,25.565077945407193,14.723955473505143
