geometry,centre_offset_m,transect_slc,distance_m,E,N,band,band_name,window_class,dominant_class_name,depth_mean_m,lambda_pred_m,slc_lambda_contour_m,grd_lambda_contour_m,slc_lambda_centroid_m,grd_lambda_centroid_m,slc_rel_err_contour,grd_rel_err_contour,slc_rel_err_centroid,grd_rel_err_centroid,slc_identifiable,grd_identifiable,forward_source,block
far,43.03617373731252,13,8600.0,440185.0155754041,4008647.165501141,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.19045925140381,148.6782482161586,157.07442971594122,167.77869732229925,139.5360944156711,149.788490422662,0.056404839812921326,0.12854026392937112,-0.06154931941575181,0.007531618811215113,True,True,block39_sector72,1_8
far,43.30148635086821,13,8700.0,440278.143113238,4008683.597104139,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.2462797164917,148.68682372502198,151.71526604537675,167.77869732229925,148.29850157165262,149.4787352404856,0.020257440926179537,0.12852547508119794,-0.0027196758075223038,0.005434917507761483,True,True,block39_sector72,1_8
far,43.64686701913479,13,8800.0,440371.2706510718,4008720.028707137,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.307207107543945,148.70739211195718,162.8156743689768,167.77869732229925,149.29004844993074,149.46307676947052,0.09468262373485214,0.12844320107340268,0.0037437892147607066,0.005256301805870445,True,True,block39_sector72,1_8
far,44.070433299137925,13,8900.0,440464.3981889057,4008756.460310135,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.399785041809082,149.8776201824425,162.8156743689768,167.77869732229925,157.7435128296027,149.3896818717044,0.08562747837106577,0.1201567620213253,0.05180716000661589,-0.002615558497584436,True,True,block39_sector72,1_8
far,44.569956158078064,13,9000.0,440557.52572673955,4008792.891913133,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.506237030029297,150.14849569126906,152.64890726398548,162.8156743689768,157.098994704277,149.32052031609152,0.016106365872206263,0.08494792781709104,0.04572834127847902,-0.004979159866551175,True,True,block39_sector72,1_8
far,45.14291420428737,13,9100.0,440650.65326457337,4008829.323516131,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.646952629089355,150.49364945966659,152.64890726398548,157.07442971594122,156.1800152900051,167.2700073777007,0.01359511649380285,0.04447622065545365,0.03704182119111166,0.1122723504444445,True,True,block39_sector72,1_8
far,45.786550688581656,13,9200.0,440743.78080240724,4008865.755119129,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.785943031311035,151.57924721047243,147.41826575333243,157.07442971594122,155.82009379996612,168.941984744272,-0.02762503364939639,0.036438511895082515,0.0277936569882955,0.11474528083029267,True,True,block39_sector72,1_8
far,46.49793065537403,13,9300.0,440836.9083402411,4008902.1867221273,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.92664909362793,151.76125825733027,152.31081403103462,167.77869732229925,141.4823728116564,162.28929382380016,0.003108071580313121,0.10610946516295772,-0.06820726383361242,0.06991964330419975,True,True,block39_sector72,1_9
far,47.273995987665664,13,9400.0,440930.03587807494,4008938.618325125,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.032289505004883,152.0583687072242,167.77869732229925,172.54070977589132,120.0701842614497,162.97352024352978,0.10293184501228869,0.1351653882545789,-0.2106910354414513,0.07222173609205718,False,False,block39_sector72,1_9
far,48.11161656250176,13,9500.0,441023.1634159088,4008975.049928123,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.123762130737305,153.12149532710265,204.79999999999976,167.7111762125869,682.666666666666,171.06991029187753,0.3374999999999997,0.09528172941569935,3.458333333333333,0.11721682136419154,False,True,block39_sector72,1_9
far,49.946373537627245,13,13300.0,444562.0098535954,4010359.4508420466,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,25.07093048095703,162.52278259089707,262.2195301025708,284.006500467317,187.93822630868038,194.96863667139553,0.6123299046240065,0.7486830904780084,0.15559059380874407,0.20045969919640805,False,False,block40_sector66,1_12
far,49.32832417484682,13,13400.0,444655.1373914293,4010395.882445045,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,25.288649559020996,164.18877908414777,106.0414204064762,262.2195301025708,199.83129837610775,363.5088079729606,-0.3592467883153593,0.6098681881283003,0.20747671748258578,1.2317226555596328,True,False,block40_sector66,1_13
far,48.79501956561748,13,13500.0,444748.2649292631,4010432.314048043,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,25.52860736846924,165.49494949494934,319.84386434786506,262.2195301025708,195.73078703985644,682.666666666666,0.932650303371501,0.5844563891695882,0.18269945782139918,3.124999999999999,False,False,block40_sector66,1_13
far,48.34926405985875,13,13600.0,444841.392467097,4010468.7456510407,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,25.794870376586914,165.49494949494934,163.4481939389688,155.7565828802744,181.5773641287726,682.666666666666,-0.01236748047131786,-0.05884389006670043,0.09717767631521634,3.124999999999999,True,False,block40_sector66,1_13
far,47.993497143672506,13,13700.0,444934.52000493085,4010505.177254039,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.080769538879395,165.49494949494934,163.4481939389688,157.07442971594122,184.58125634814533,682.666666666666,-0.01236748047131786,-0.05088082630137969,0.11532863638100621,3.124999999999999,False,False,block40_sector66,1_13
far,47.729731124387314,13,13800.0,445027.64754276467,4010541.6088570366,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.325603485107422,165.49494949494934,183.17868871678257,157.07442971594122,187.8413824667614,182.5492538633148,0.10685364886239568,-0.05088082630137969,0.13502788477840544,0.10305030105396606,False,True,block40_sector66,1_13
far,47.559496744213554,13,13900.0,445120.77508059854,4010578.0404600347,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.509202003479004,165.49494949494934,186.18181818181793,186.18181818181793,189.93242396651794,185.65582901186136,0.12499999999999956,0.12499999999999956,0.14766296220003028,0.12182172071376285,True,True,block40_sector66,1_13
far,47.48379997559106,13,14000.0,445213.9026184324,4010614.472063033,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.63146686553955,165.49494949494934,186.18181818181793,186.18181818181793,188.23093088593384,185.19876323057403,0.12499999999999956,0.12499999999999956,0.13738172349288735,0.11905990965740032,True,True,block40_sector66,1_13
