run,product,geometry,transect,distance_m,E,N,band,band_name,window_class,dominant_class_name,admissible_fraction,depth_mean_m,forward_source,lambda_contour_m,lambda_centroid_m,lambda_pred_m,identifiable,rel_err_contour,rel_err_centroid,block
slc_near,slc,near,36,1450.0,433784.5935329101,4005648.19772218,2,B_12_20m,mixed_source,bluetopo_direct_2019_2020_certified,0.42109090909090907,13.192708969116211,block39_sector72,56.801300093463404,111.4789304514978,124.5275698585846,True,-0.5438656663904401,-0.10478514454192778,4_1
slc_near,slc,near,36,1500.0,433822.9962141986,4005680.2169987154,2,B_12_20m,mixed_source,legacy_bias_corrected,0.3031624863685932,13.36827278137207,block39_sector72,56.801300093463404,125.78584963249149,124.71101724744794,True,-0.5445366307873191,0.0086185840575006,4_1
slc_near,slc,near,36,1550.0,433861.3988954871,4005712.236275251,2,B_12_20m,mixed_source,legacy_bias_corrected,0.2159214830970556,13.529315948486328,block39_sector72,114.4866804479891,138.65073345419523,114.20021015761807,False,0.0025084917967808096,0.214102261833238,4_1
slc_near,slc,near,36,1600.0,433899.8015767756,4005744.255551786,2,B_12_20m,mixed_source,legacy_bias_corrected,0.13672727272727273,13.68009090423584,block39_sector72,114.4866804479891,139.16756403438808,115.3802816901407,True,-0.007744834984468207,0.20616419023944887,4_1
slc_near,slc,near,36,1650.0,433938.2042580641,4005776.2748283218,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0752453653217012,13.826847076416016,block39_sector72,127.01156821934926,138.57479222725078,128.09219116656197,True,-0.008436290591731344,0.08183637866775162,4_1
slc_near,slc,near,36,1700.0,433976.6069393526,4005808.2941048574,2,B_12_20m,mixed_source,legacy_bias_corrected,0.03165938864628821,13.965139389038086,block39_sector72,93.09090909090897,139.9078962433633,128.42418310753945,True,-0.2751294433934084,0.08942017662053292,4_1
slc_near,slc,near,36,1750.0,434015.0096206411,4005840.3133813925,2,B_12_20m,mixed_source,legacy_bias_corrected,0.010178117048346057,14.086272239685059,block39_sector72,142.0032502336585,143.7970965649641,130.03174603174588,False,0.09206601131841974,0.10586146039950561,4_1
slc_near,slc,near,36,1800.0,434053.4123019296,4005872.332657928,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0,14.214494705200195,block39_sector72,142.0032502336585,146.2857142857141,130.03174603174588,False,0.09206601131841974,0.125,4_1
slc_near,slc,near,36,1850.0,434091.8149832181,4005904.3519344637,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0,14.33674430847168,block39_sector72,142.0032502336585,146.2857142857141,130.03174603174588,True,0.09206601131841974,0.125,4_1
slc_near,slc,near,36,1900.0,434130.21766450664,4005936.371210999,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0,14.454855918884277,block39_sector72,142.0032502336585,146.2857142857141,130.03174603174588,True,0.09206601131841974,0.125,4_1
slc_near,slc,near,36,1950.0,434168.6203457951,4005968.3904875345,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0,14.57142448425293,block39_sector72,137.38401653758697,131.96311905996393,130.03174603174588,True,0.056542119368651056,0.014853088473844922,4_1
slc_near,slc,near,36,2000.0,434207.0230270836,4006000.40976407,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0,14.688405990600586,block39_sector72,127.01156821934926,129.01909610900086,130.03174603174588,True,-0.02322646510998383,-0.0077877130289228935,4_1
slc_near,slc,near,36,2050.0,434245.4257083721,4006032.429040605,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0,14.80618953704834,block39_sector72,108.54378291265117,118.57228747594583,118.7246376811593,True,-0.08575182849451435,-0.0012832231640294012,4_2
slc_near,slc,near,36,2100.0,434283.82838966063,4006064.448317141,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,14.92064094543457,block39_sector72,108.54378291265117,143.14308699211176,118.7246376811593,True,-0.08575182849451435,0.20567297393258333,4_2
slc_near,slc,near,36,2150.0,434322.2310709491,4006096.4675936764,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.051814079284668,block39_sector72,170.6666666666665,175.33045455935138,132.43506763848723,True,0.2886818401644302,0.32389749698287806,4_2
slc_near,slc,near,36,2200.0,434360.6337522376,4006128.4868702115,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.181024551391602,block39_sector72,170.6666666666665,175.8400376629727,132.82814410685717,False,0.28486826202562243,0.3238161147649059,4_2
