row,col,kx_rad_m,ky_rad_m,k_rad_m,wavelength_m,angle_from_parallel_deg,vector_bearing_grid_north_deg,power,relative_power,endpoint_MSC,min_adjacent_MSC,fixed_diagnostic,pre_coherence_candidate,common_candidate,common_exclusions,evaluated,s_phi_A,s_phi_B,s_phi_C,A_valid,B_valid,C_valid,intersection,A_rmse,A_R2,A_max_step,A_unwrap_valid,reference_slope_span,telescoping_error,B_rms,C_rms,B_ambiguous,C_ambiguous,B_boundary,C_boundary,delta_B_A,delta_C_A,A_exclusions,B_exclusions,C_exclusions,lag1_s_phi,lag1_valid,lag1_ambiguous,lag2_s_phi,lag2_valid,lag2_ambiguous,lag4_s_phi,lag4_valid,lag4_ambiguous,lag8_s_phi,lag8_valid,lag8_ambiguous
113,61,-0.13526301702956053,-0.03866575573648976,0.1406809313397273,44.66266499193454,-164.04709334608705,275.78863035391294,44228.08048010049,0.02568066278909721,0.3212388528399815,0.03852682212758866,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,62,-0.13526301702956053,-0.02899931680236732,0.1383367057253542,45.4195094081094,-167.89941741841434,271.93630628158564,159898.32965266512,0.09284361970439885,0.0907135041495572,0.03969511422037972,False,True,True,,True,0.4891017327919739,0.9163997459716665,0.9914433837952628,False,False,False,False,3.1215463053148573,0.5094069106670265,2.993354017691022,False,0.0,1.7763568394002505e-15,1.0876281229867988,1.0272456832863754,False,False,False,False,0.4272980131796926,0.5023416510032889,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.9163997459716665,False,False,1.029486461477695,False,False,0.9963913269298798,False,True,3.2144510915519384,False,True
113,63,-0.13526301702956053,-0.01933287786824488,0.1366376373573828,45.984294142510606,-171.86591683715778,267.96980686284223,109045.13864772466,0.0633161422337225,0.017866071946196313,0.01674284629562432,False,True,False,low_endpoint_MSC,True,0.9645711457230925,0.9204224157394747,0.9647453829758285,False,False,False,False,0.5159211143423069,0.9932812920927778,2.3786448400389633,True,0.0,0.0,0.7689766306587128,0.7345962828423451,False,False,False,False,-0.04414872998361785,0.0001742372527359093,high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.9204224157394747,False,False,0.9711658219163156,False,False,-1.254768627769024,False,True,-2.3827854578809844,False,True
113,64,-0.13526301702956053,-0.00966643893412244,0.13560797844377115,46.33344866050682,-175.91236248998743,263.92336121001256,54726.441056175085,0.03177644752282146,0.033640451810839876,0.0026705543722429885,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,65,-0.13526301702956053,0.0,0.13526301702956053,46.45161290322581,180.0,259.8357237,55177.07345090857,0.032038103431135195,0.024446426488721775,0.01435012823454391,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,66,-0.13526301702956053,0.00966643893412244,0.13560797844377115,46.33344866050682,175.91236248998743,255.74808618998742,51798.930771583146,0.030076613308581808,0.053664264555190036,0.02036049525526796,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,67,-0.13526301702956053,0.01933287786824488,0.1366376373573828,45.984294142510606,171.86591683715778,251.7016405371578,28504.146841872847,0.016550693025585803,0.05893113699375517,0.025173042073150843,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,68,-0.13526301702956053,0.02899931680236732,0.1383367057253542,45.4195094081094,167.89941741841434,247.73514111841433,18121.191467734327,0.010521917351329135,0.3805941799139835,0.007939736923626269,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,69,-0.13526301702956053,0.03866575573648976,0.1406809313397273,44.66266499193454,164.04709334608705,243.88281704608704,20399.479572175016,0.011844786169316324,0.11332652125310681,0.007891081466792923,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,70,-0.13526301702956053,0.04833219467061221,0.1436387302144416,43.74297445959925,160.33717000371325,240.17289370371327,31607.843043501827,0.018352828110098397,0.13348152167286337,0.0005982117741626107,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,71,-0.13526301702956053,0.05799863360473464,0.1471731132916452,42.6924807571919,156.7911149821481,236.6268386821481,16322.802565289774,0.009477697967037459,0.08125668958096155,0.00047378744820986325,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,72,-0.13526301702956053,0.06766507253885708,0.15124366372720535,41.54346140749685,153.42357609986513,233.25929979986512,18966.826676248103,0.011012928319851747,0.20322198700300603,0.01114482228914653,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,73,-0.13526301702956053,0.07733151147297952,0.15580836448225346,40.3263671245021,150.24287143567352,230.07859513567354,20108.980215635056,0.011676110162246359,0.17358167597365376,0.0009906509723012474,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
