phase,case,replicate,transfer,gain,selected,recovered,s1_hat,s2_hat,s1_true,s2_true,separation_true,tolerance,alternatives,boundary
evaluation,stress_unresolved,7,constant,0.20931142173784945,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,7,geometry,0.15790079723417116,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,8,constant,0.20124468665881257,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,8,geometry,0.1629574883047591,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,9,constant,0.20298121743157482,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,9,geometry,0.1288815611884797,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,1,False
evaluation,stress_unresolved,10,constant,0.21630916269695066,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,10,geometry,0.152605748905826,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,11,constant,0.1971317082648245,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,11,geometry,0.14902809583909404,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_temporal,0,constant,0.5127455164129449,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,0,geometry,0.5170197123226548,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,1,constant,0.5287907150608797,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,1,geometry,0.5378764270213539,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,2,constant,0.5289076738717882,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,2,geometry,0.5333971921769823,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,3,constant,0.5275436300692746,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,3,geometry,0.5312008746568495,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,4,constant,0.5164654015802705,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,4,geometry,0.5225054220325809,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,5,constant,0.5035923856544309,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,5,geometry,0.511218703214922,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,6,constant,0.5184630636081206,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,6,geometry,0.5244039958428177,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,7,constant,0.5337969635380605,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,7,geometry,0.5385998097762921,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,8,constant,0.5208038804855626,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,8,geometry,0.5276004113851085,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
