scale,correlation_s,partition,replicate,error,gain,improved_folds,stable,category,slope_span,offset_ratio_cv,offset_ratio,delta_s
0,0,primary,83,,-0.16156087815257436,0,True,no_predictive_advantage,0.019873441051403207,0.3253585847446556,0.030885847709428087,2.2042147498846365e-05
0,0,primary,84,,-0.07219007333628125,2,True,no_predictive_advantage,0.04009223601698486,0.4271233194927085,0.11385071462259432,0.00030424974010623274
0,0,primary,85,,-0.1517394276244417,0,True,no_predictive_advantage,0.030257180706798892,0.4455202377150087,0.043139474485105224,0.0006330553569124375
0,0,primary,86,,-0.23987863764678585,0,True,no_predictive_advantage,0.027743254829883657,0.28945313528803485,0.03082243977536049,-6.624642319741358e-05
0,0,primary,87,,-0.24936176329917847,0,True,no_predictive_advantage,0.02109893365215576,0.2560711302959404,0.05006391531883518,-0.0001874576706042408
0,0,primary,88,,-0.18145469630486355,1,True,no_predictive_advantage,0.017644268808408692,0.32039272619389936,0.1152471640228944,0.0003982212288231035
0,0,primary,89,,0.027231382568788876,2,True,descriptive_or_unstable,0.012142037555034013,0.26118571745773506,0.04811935573873205,-7.60500727255975e-05
0,0,primary,90,,-0.10729230551736957,1,True,no_predictive_advantage,0.009753087280011175,0.466002805574919,0.1165300130950263,-0.00017392187268006065
0,0,primary,91,,-0.11550818593436452,1,False,no_predictive_advantage,0.015253512355079712,0.5874544343486172,0.035432703714807716,-0.00029236402531240824
0,0,primary,92,,0.030230326945691166,3,True,descriptive_or_unstable,0.014366968577884554,0.18520403409193745,0.06678627783412097,-0.0003147538018969942
0,0,primary,93,,0.05524938080616559,4,True,descriptive_or_unstable,0.00858332941782719,0.25000048345758685,0.05915702835726016,-2.2535377542320933e-05
0,0,primary,94,,-0.057788323111288564,1,True,no_predictive_advantage,0.013829455619218667,0.38853442855416115,0.08105768163820125,4.001650130130985e-05
0,0,primary,95,,-0.032302993167791394,2,True,no_predictive_advantage,0.011668334936156155,0.2372439926445598,0.050658367486452124,3.388793533914969e-05
0,0,primary,96,,-0.12750123403410107,1,True,no_predictive_advantage,0.01479254466303298,0.2399330051546767,0.05745492355865509,-0.0003807649206295505
0,0,primary,97,,-0.07133072217503922,2,True,no_predictive_advantage,0.012688057870168024,0.15479789601386157,0.10843469787906444,-0.000317064979489301
0,0,primary,98,,0.07653014462529928,2,True,descriptive_or_unstable,0.0111148570609646,0.22600871046775103,0.11158123676143142,0.00044328117448433346
0,0,primary,99,,-0.020663682628248692,1,True,no_predictive_advantage,0.025976940771795798,0.1678808407118776,0.06040591572084055,-0.00020391762087146326
0,0,primary,100,,-0.1703304535046053,0,False,no_predictive_advantage,0.02402619986930815,0.600412488668893,0.020595362436488972,-3.832102231382528e-05
0,0,primary,101,,0.02476355262582819,3,True,descriptive_or_unstable,0.011522683781921395,0.3758186760854477,0.06669731297018125,-0.00010728285935202031
0,0,primary,102,,-0.13514514245443743,1,True,no_predictive_advantage,0.012829389230363641,0.3711741311496325,0.07191809463941613,-4.995197184742839e-05
0,0,primary,103,,-0.1826635280726261,0,True,no_predictive_advantage,0.01443663110096216,0.4782572299133407,0.04141984723252937,-0.000174834553290093
0,0,primary,104,,-0.13838125905141396,0,True,no_predictive_advantage,0.020042414253317153,0.39326829108690126,0.010923230944907061,1.0419299640629376e-05
0,0,primary,105,,-0.17455209942863736,2,False,no_predictive_advantage,0.05176610992130992,0.3978931537881819,0.11811128469198816,0.0005469659913784897
0,0,primary,106,,-0.5269173566002017,0,False,no_predictive_advantage,0.06322301576484785,0.4722940500544976,0.02331590686882126,-8.469251367604347e-06
0,0,primary,107,,-0.10085290559012328,1,True,no_predictive_advantage,0.016020501901680362,0.14513478864018434,0.06604252978304709,-0.00018551405752303962
0,0,primary,108,,-0.16368941972304119,0,False,no_predictive_advantage,0.030606451887890018,0.628783086930374,0.01683726936302855,-4.991787148372895e-05
0,0,primary,109,,-0.12920946858255777,1,False,no_predictive_advantage,0.026226969650647247,0.6223231527383888,0.06036058377166501,-7.808859081487318e-05
0,0,primary,110,,0.03230308506325996,3,True,descriptive_or_unstable,0.007454700380289558,0.30289404798126485,0.08518706777077815,0.00027444424819283997
0,0,primary,111,,0.014176719722101216,3,True,descriptive_or_unstable,0.009407997696282755,0.16040015201582136,0.05659963803606603,0.00013858017241880072
0,0,primary,112,,0.11973474862183842,4,True,repeated_predictive_stable,0.007567105738218893,0.14575535558177616,0.11298362190884774,0.001147631891371681
0,0,primary,113,,0.0585358187161491,3,True,descriptive_or_unstable,0.016549838878190393,0.37888101104482247,0.08017876968162502,0.00026908745823922553
0,0,primary,114,,0.0225443901124579,2,True,descriptive_or_unstable,0.009370188817765912,0.3205407079354636,0.08379555466335066,-0.0001899125808703106
0,0,primary,115,,0.057577305698111925,3,True,descriptive_or_unstable,0.007325488945698122,0.2121279503970265,0.062102635297063426,8.227756338774483e-05
0,0,primary,116,,-0.13211110929270897,1,True,no_predictive_advantage,0.01772736727538171,0.20557380238487477,0.059783701572409705,-0.0004708282113889961
0,0,primary,117,,-0.35249584388551436,1,True,no_predictive_advantage,0.03622070098443758,0.2699607713031069,0.10554301976109141,-0.00043270210000617704
0,0,primary,118,,-0.14867849570456526,2,True,no_predictive_advantage,0.008218328775464578,0.4748924761370291,0.0742971572140395,-7.072691441956103e-07
0,0,primary,119,,-0.5120381350829482,0,True,no_predictive_advantage,0.032266130138369375,0.2811134700770673,0.08867984162047529,0.00010334844079473715
0,0,primary,120,,-0.0688006915894337,1,True,no_predictive_advantage,0.011712479187876601,0.3053309384554701,0.06974465101332135,0.00024790975046995456
0,0,primary,121,,0.12642199661818032,4,True,repeated_predictive_stable,0.012727252640537645,0.21729778899510868,0.11455387177025808,0.0001235603820660125
0,0,primary,122,,0.050653123720486026,3,True,descriptive_or_unstable,0.006412338365339054,0.3067247624289271,0.07711526467943673,0.0005000015201726549
0,0,primary,123,,-0.13365583728752317,0,True,no_predictive_advantage,0.009965484009220427,0.22713954397366404,0.05626406394747065,-0.0003847446900411833
0,0,primary,124,,-0.4130717179847838,0,True,no_predictive_advantage,0.031064727334863873,0.4340048267342705,0.028707341142929322,7.366491392241103e-05
0,0,primary,125,,-0.1181207502474273,0,True,no_predictive_advantage,0.013707991232391248,0.287415208619271,0.05718184004760856,0.0003510935287998618
0,0,primary,126,,0.015941397554756653,3,True,descriptive_or_unstable,0.01446510230950171,0.37407766244554813,0.09542227182544698,0.00039873233691800625
0,0,primary,127,,-0.10210486858260648,2,True,no_predictive_advantage,0.013226625368291611,0.4087350104637484,0.0885047689461254,-0.0005235931548515649
0,0,primary,128,,-0.39528747980768686,0,False,no_predictive_advantage,0.03271720573599307,0.5984860626595222,0.06850241796878453,0.0002396434323727603
0,0,primary,129,,-0.11118587217534404,0,True,no_predictive_advantage,0.013570049698109266,0.35406228626182507,0.03339675940168498,-5.0383607842485745e-06
0,0,primary,130,,-0.015834193460182888,1,True,no_predictive_advantage,0.008011519680905077,0.2649687796365948,0.04121147772412359,0.00010557571371611063
0,0,primary,131,,0.05599791062068149,2,True,descriptive_or_unstable,0.00441978704814644,0.3400941191315577,0.10421696669527897,-0.0001835667230001281
0,0,primary,132,,-0.17092402754678582,0,True,no_predictive_advantage,0.025772575770232065,0.3561911234783334,0.04363015978176635,-0.00018166952258430458
0,0,primary,133,,0.024649189469897026,3,True,descriptive_or_unstable,0.028951497659809755,0.2573116850120241,0.0581978089855521,0.0004264660117563879
0,0,primary,134,,-0.030500513298217458,3,True,no_predictive_advantage,0.022162556892143914,0.2748836399428358,0.13603597726305464,-0.001146328398721641
0,0,primary,135,,-0.09282087437763953,1,True,no_predictive_advantage,0.010297766958644039,0.2605721987364162,0.033705213743234694,0.0002863709417930682
0,0,primary,136,,0.09198832094752152,4,True,descriptive_or_unstable,0.003147865119630777,0.10490239095262253,0.07651673570405712,-0.0006712043690985658
0,0,primary,137,,-0.07576542717301105,1,False,no_predictive_advantage,0.013725353125660145,0.5821256833931714,0.03507765536747772,0.0001024556053084158
0,0,primary,138,,-0.048517432072065825,2,True,no_predictive_advantage,0.024953303041531427,0.30948224062604235,0.07460523968584289,-9.54511233254296e-05
0,0,primary,139,,0.019419385454326643,2,False,descriptive_or_unstable,0.02099892396262376,0.5051494537381166,0.07033744953965136,0.0001295356997105257
0,0,primary,140,,-0.03856908252322211,2,True,no_predictive_advantage,0.027815214141250433,0.3824389978859106,0.04342348573034112,6.11052474556173e-05
0,0,primary,141,,-0.04138801983038487,2,True,no_predictive_advantage,0.011909291901954056,0.4971749203681163,0.06552748105414176,-0.0002617527620425997
0,0,primary,142,,-0.5112541776835504,1,False,no_predictive_advantage,0.05244517029154977,0.27697346060582306,0.11544341377366384,-0.0010454504406848808
0,0,primary,143,,-0.0016443781177462036,2,True,no_predictive_advantage,0.008075829120511524,0.2810922123963582,0.026792463351857716,-6.606494465305479e-05
0,0,primary,144,,0.02510198752414161,3,True,descriptive_or_unstable,0.01970377733166151,0.15083874469081143,0.10154760192298758,0.0010976240636581536
