phase,family,replicate,axis,separation_bins,ratio,noise_tau_s,score,valid_structure,denominator,E_early,E_mid1,E_mid2,E_late,pair_counts,truth_primary_s,ols_s,circular_s,r2,frozen_valid,relative_slope_error,B_slope_error_over_10pct,block15i_detects_B,block15i_m1_gain,block15i_amp_corr,A_slopes,control,decision,block15i_decision
evaluation,A_band,5,radial,3.0,1.0,5.0,1.5455747946858656,True,0.022133121186951005,0.27781644520741905,1.3687449485334355,2.596879652252758,1.3031444379193184,61;135;195;105,,0.3927531451964783,0.39268499222105846,0.9998429570611321,True,,False,False,7.613309237619603e-05,0.2923690409039974,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,6,radial,3.0,1.0,0.0,0.3031332486539875,True,0.02088247680329868,1.0402083097591663,1.8556494711798501,2.7530088065230855,1.408540750271151,61;135;195;105,,0.39752397453504057,0.3979106795425634,0.9993504298254597,True,,False,False,0.00017110166017531014,0.1739278642827951,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,7,radial,3.0,1.0,5.0,1.5825804277039919,True,0.021750731437685383,0.26830808790036,1.303745447443382,2.4635441840024357,1.3059895779436652,61;135;195;105,,0.395677482989921,0.39698210236905956,0.9990483603373813,True,,False,False,0.0043083212306700425,0.14078654929610998,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,0,tangential,1.452,1.0,0.0,0.23149391231493494,True,0.01920899697503542,1.1311285241721918,1.861873735866521,2.656255642717142,1.4257667520611512,61;135;195;105,,0.3980598528161253,0.39828122841389796,0.9990227952201668,True,,False,False,0.00018458206952720602,0.22291040402509596,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,A_band,1,tangential,1.452,1.0,5.0,1.5534259776941275,True,0.018922014081441663,0.2996750877290644,1.363710591755903,2.398957053391349,1.4167557087842015,61;135;195;105,,0.40001325245112856,0.396165444170229,0.9990021136016015,True,,False,False,0.008388982318480065,-0.5315483165451719,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,2,tangential,1.452,1.0,0.0,0.27253400434614206,True,0.019239287460611855,1.1680328642989997,1.8985040580704624,2.6905322987632547,1.5339636793805542,61;135;195;105,,0.40087455596307736,0.4013987347082505,0.9989292593938517,True,,False,False,8.411018985232666e-05,0.1549928922217458,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,A_band,3,tangential,1.452,1.0,5.0,1.652908632553337,True,0.020520842890035335,0.2697383005448419,1.2526965874475364,2.3439291426643614,1.4086130746373229,61;135;195;105,,0.3995522338124235,0.3997292801072271,0.9995432977364368,True,,False,False,0.0004277332328901373,-0.32573956098339346,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,4,tangential,1.452,1.0,0.0,0.28344741613429,True,0.019015337617660576,1.113042027473052,1.8930377231608562,2.648722372002855,1.4777848568765832,61;135;195;105,,0.3991371052970291,0.40053096528122156,0.9988942027299259,True,,False,False,0.0002548955029112454,-0.03207303304939561,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,5,tangential,1.452,1.0,5.0,1.6003220729413303,True,0.018615994230011375,0.29818345083353526,1.3390846258686775,2.4391178191593106,1.4773880504942065,61;135;195;105,,0.40098881704617684,0.4008485176284738,0.9991732682331451,True,,False,False,0.003259586629746347,0.34156880702979797,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,6,tangential,1.452,1.0,0.0,0.25540149651633254,True,0.019323132892851973,1.1341670462075502,1.8278361181171192,2.5724891752606567,1.4641867926888752,61;135;195;105,,0.39685208254360055,0.39590610214419775,0.9990750615174261,True,,False,False,0.0005003826821903257,0.11660456631235958,0.33534259;0.40000000;0.46297132,False,B,abstain
