run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction,dominant_source_class,block
near,0,1850.0,431667.1388589285,4012605.5231371927,16.000171661376953,waverider-17m,18.0,200.00845891047837,190.15202629330105,False,122.26865671641778,0.6358113704836506,0.5551984572328106,0.300119549036026,1.0,4,0_1
near,0,1900.0,431714.7306863929,4012620.8534326428,16.067813873291016,waverider-17m,18.0,197.3622193197021,190.15202629330105,True,122.26865671641777,0.6141685417993232,0.5551984572328108,0.300119549036026,1.0,4,0_1
near,0,1950.0,431762.32251385733,4012636.1837280933,16.08687973022461,waverider-17m,18.0,177.1872919549259,190.15202629330105,False,122.26865671641777,0.4491636426977601,0.5551984572328108,0.300119549036026,1.0,4,0_1
near,0,2000.0,431809.91434132174,4012651.514023544,16.092063903808594,waverider-17m,18.0,341.333333333333,106.43849144451625,True,122.26865671641777,1.791666666666667,-0.12947034585173378,0.300119549036026,1.0,4,0_1
near,0,2050.0,431857.5061687861,4012666.8443189943,16.068174362182617,waverider-17m,18.0,150.64100749989368,110.77915330170131,True,122.26865671641777,0.23204925567540147,-0.09396932724438511,0.300119549036026,1.0,4,0_2
near,0,2100.0,431905.0979962505,4012682.174614445,16.019756317138672,waverider-17m,18.0,126.53768752839163,144.61475425009147,False,112.21917808219166,0.12759413935212383,0.28868128176961516,0.300119549036026,1.0,4,0_2
near,0,2150.0,431952.6898237149,4012697.5049098954,15.925684928894043,waverider-17m,18.0,140.90899343486848,204.79999999999995,False,122.26865671641777,0.15245392579787587,0.6750000000000016,0.300119549036026,1.0,4,0_2
near,0,2200.0,432000.2816511793,4012712.835205346,15.84055233001709,waverider-17m,18.0,209.2517642169468,204.79999999999995,False,122.26865671641775,0.7114096926923161,0.6750000000000018,0.300119549036026,1.0,4,0_2
near,0,2250.0,432047.8734786437,4012728.1655007964,15.7492094039917,waverider-17m,18.0,201.9381005774467,204.79999999999964,False,122.26865671641777,0.6515933518907404,0.6749999999999992,0.300119549036026,1.0,4,0_2
near,1,550.0,430497.3175647803,4011998.7977356766,7.28393030166626,waverider-17m,18.0,78.72061291675088,78.53721485797067,True,92.44144205357404,-0.14842725115507516,-0.15041118882097526,0.15355214476585388,0.0,3,0_0
near,1,600.0,430544.83758916485,4012014.349175561,7.6855340003967285,waverider-17m,18.0,84.0413361146187,78.76923076923069,True,92.08494073087742,-0.08734983757839987,-0.14460247089220069,0.15355214476585388,0.0,3,0_0
near,1,650.0,430592.35761354933,4012029.9006154463,8.06017017364502,waverider-17m,18.0,85.6098224559338,85.33333333333324,True,94.59147465948655,-0.09495202644725853,-0.09787500786388059,0.15355214476585388,0.0,3,0_0
near,1,700.0,430639.8776379338,4012045.4520553313,8.43055248260498,waverider-17m,18.0,109.18895434687805,93.09090909090897,True,110.29604897724413,-0.01003748221837475,-0.15599053679506558,0.15355214476585388,0.0,3,0_0
near,1,750.0,430687.3976623183,4012061.0034952164,8.791449546813965,waverider-17m,18.0,113.83289265748202,100.4114611907501,True,99.97251680349203,0.13864186175520832,0.004390650563703247,0.15355214476585388,0.0,3,0_0
near,1,800.0,430734.91768670286,4012076.5549351014,9.147356986999512,waverider-17m,18.0,115.52191904399582,115.55279773527356,True,106.51670655288991,0.08454272369597216,0.08483261898354755,0.23201750218868256,0.0,3,0_0
near,1,1500.0,431400.19802808587,4012294.275093491,14.544130325317383,waverider-17m,18.0,144.34006028424014,108.54378291265117,True,132.51692545714457,0.08921980936630725,-0.18090626885428474,0.300119549036026,0.7888153053715967,4,0_1
near,1,1550.0,431447.71805247036,4012309.8265333762,14.845080375671387,waverider-17m,18.0,150.5672757860808,118.84501643331302,True,132.56010292177552,0.13584157274629938,-0.10346315509845261,0.300119549036026,0.8804707613093049,4,0_1
near,1,1600.0,431495.23807685485,4012325.3779732613,15.108351707458496,waverider-17m,18.0,129.22519136087604,147.1221174099688,False,132.54426500289537,-0.025041246725739708,0.10998478437942971,0.300119549036026,0.9551140544518028,4,0_1
near,1,1650.0,431542.75810123933,4012340.9294131463,15.31412410736084,waverider-17m,18.0,166.7207085459836,129.52689296049664,False,134.29508196721298,0.24145058853820922,-0.03550531364864462,0.300119549036026,0.9948491537895512,4,0_1
near,1,1700.0,431590.2781256238,4012356.4808530314,15.451964378356934,waverider-17m,18.0,107.12788197917973,140.65721748345732,False,134.29508196721298,-0.20229482412964228,0.04737430010875299,0.300119549036026,0.9959514170040485,4,0_1
near,1,1750.0,431637.79815000837,4012372.032292916,15.549612045288086,waverider-17m,18.0,104.67947440143662,156.36068307741294,True,134.29508196721295,-0.22052637469633285,0.16430684420437025,0.300119549036026,0.9977933063626333,4,0_1
near,1,1800.0,431685.31817439286,4012387.583732801,15.586081504821777,waverider-17m,18.0,206.0993026689892,186.26736002790327,True,134.29508196721295,0.5346749832529731,0.3870006056765274,0.300119549036026,0.9985277880014722,4,0_1
near,1,1850.0,431732.83819877735,4012403.135172686,15.607565879821777,waverider-17m,18.0,195.61007363683547,190.15202629330105,True,134.29508196721295,0.45656915183678937,0.41592695360002163,0.300119549036026,1.0,4,0_1
near,1,1900.0,431780.35822316183,4012418.686612571,15.59478759765625,waverider-17m,18.0,172.8085004096019,190.15202629330105,True,134.29508196721298,0.28678204650704653,0.4159269536000214,0.300119549036026,1.0,4,0_1
near,1,1950.0,431827.8782475464,4012434.238052456,15.554136276245117,waverider-17m,18.0,195.75608906810638,190.15202629330105,True,122.26865671641777,0.6010324667435476,0.5551984572328108,0.300119549036026,1.0,4,0_1
near,1,2000.0,431875.39827193087,4012449.789492341,15.45732593536377,waverider-17m,18.0,178.1430057390527,110.88590894699769,True,134.29508196721298,0.3265043151955842,-0.17431146902259942,0.300119549036026,1.0,4,0_1
near,1,2050.0,431922.91829631536,4012465.3409322263,15.37817096710205,waverider-17m,18.0,136.40027893382185,111.65373913878733,False,122.26865671641777,0.11557845319410087,-0.0868163424928271,0.300119549036026,1.0,4,0_2
near,1,2100.0,431970.43832069985,4012480.892372111,15.287822723388672,waverider-17m,18.0,122.88903488870477,132.06034026888398,False,122.26865671641777,0.0050738937430701014,0.08008334936709427,0.300119549036026,1.0,4,0_2
near,1,2150.0,432017.95834508433,4012496.443811996,15.193507194519043,waverider-17m,18.0,122.73256616420808,204.79999999999995,False,132.52486518873565,-0.07389027719878705,0.5453703703703714,0.300119549036026,1.0,4,0_2
near,1,2200.0,432065.4783694689,4012511.995251881,15.064920425415039,waverider-17m,18.0,209.850876271253,204.79999999999995,False,132.09029610085003,0.588692602453047,0.5504545454545471,0.300119549036026,1.0,4,0_2
near,1,2250.0,432112.99839385337,4012527.546691766,14.98615837097168,waverider-17m,18.0,203.20541085433447,204.79999999999964,False,132.51068746389353,0.5335020498607239,0.5455357142857136,0.300119549036026,1.0,4,0_2
near,1,2300.0,432160.51841823786,4012543.098131651,14.926912307739258,waverider-17m,18.0,173.87498102784465,179.6214823540794,False,132.35776110790522,0.313674238461108,0.35709066737418027,0.300119549036026,1.0,4,0_2
near,1,2350.0,432208.03844262235,4012558.649571536,14.881587982177734,waverider-17m,18.0,171.8393209086851,175.61455118592892,False,131.84816276951094,0.30331221383102847,0.3319453794204761,0.300119549036026,1.0,4,0_2
near,1,2400.0,432255.5584670069,4012574.201011421,14.877981185913086,waverider-17m,18.0,169.0755278554537,152.64890726398542,True,118.7246376811593,0.4240980739778222,0.2857390870623786,0.300119549036026,1.0,4,0_2
near,1,2450.0,432303.0784913914,4012589.752451306,14.87014102935791,waverider-17m,18.0,95.09926278008632,78.76923076923069,True,131.67393800229607,-0.27776700368429763,-0.4017857142857143,0.300119549036026,1.0,4,0_2
near,1,2500.0,432350.59851577587,4012605.303891191,14.91580867767334,waverider-17m,18.0,96.23370625666297,91.1348038635488,True,132.02075935536723,-0.27107140781075467,-0.30969338224879883,0.300119549036026,1.0,4,0_2
near,1,2550.0,432398.11854016036,4012620.855331076,14.980671882629395,waverider-17m,18.0,106.17478641703524,109.35778018774529,False,132.30988228852982,-0.197529431811461,-0.1734723189514491,0.300119549036026,1.0,4,0_2
near,1,2600.0,432445.63856454485,4012636.406770961,15.057558059692383,waverider-17m,18.0,126.08793036526542,110.27837316368448,False,132.55663430420697,-0.04879954875812842,-0.16806598370169568,0.300119549036026,1.0,4,0_2
near,1,2650.0,432493.1585889294,4012651.958210846,15.118494033813477,waverider-17m,18.0,128.22625061144942,124.86876382201693,False,132.30988228852982,-0.030864147155502564,-0.05624008076952214,0.300119549036026,1.0,4,0_2
