k_peak_cycles_per_m,wavelength_m,bearing_deg_mod_180,difference_from_frozen_bearing_deg,radial_fwhm_cycles_per_m,radial_fwhm_fraction_of_k,native_delta_f_parallel_cycles_per_m,zero_padding_factor,peak_power_arbitrary,roi,L_parallel_m,L_perpendicular_m,look_index,method,spatial_support
0.007936507936507936,126.0,79.8357237,0.0,0.0016036090681628623,0.20205474258852066,0.0007936507936507937,2,12051010597.654114,nearshore_anchored_1260x0650,1260,650,1,plane_tukey10,nearshore_edge_anchored
0.007936507936507936,126.0,79.8357237,0.0,0.0020016680567139277,0.2522101751459549,0.0007936507936507937,2,7197774934.144579,nearshore_anchored_1260x0650,1260,650,1,quadratic_tukey25,nearshore_edge_anchored
0.007936507936507936,126.0,79.8357237,0.0,0.0020016680567139277,0.2522101751459549,0.0007936507936507937,2,584162468.8990518,rot_k_1260x0650,1260,650,2,mean_hann,nested_common_center
0.005608557168042024,178.29897601794528,71.95258438327028,7.883139316729725,0.0012169231935703993,0.21697615930609002,0.0007936507936507937,2,7703394629.874384,rot_k_1260x0650,1260,650,2,plane_tukey10,nested_common_center
0.005608557168042024,178.29897601794528,71.95258438327028,7.883139316729725,0.0012169231935703993,0.21697615930609002,0.0007936507936507937,2,6042857364.99345,rot_k_1260x0650,1260,650,2,quadratic_tukey25,nested_common_center
0.007936507936507936,126.0,79.8357237,0.0,0.0012055500796117977,0.15189931003108653,0.0007936507936507937,2,963712307.9409497,nearshore_anchored_1260x0650,1260,650,2,mean_hann,nearshore_edge_anchored
0.005952380952380952,168.0,79.8357237,0.0,0.0016036090681628631,0.269406323451361,0.0007936507936507937,2,12415054639.883846,nearshore_anchored_1260x0650,1260,650,2,plane_tukey10,nearshore_edge_anchored
0.005555555555555556,180.0,79.8357237,0.0,0.0016036090681628631,0.28864963226931534,0.0007936507936507937,2,8654850354.865124,nearshore_anchored_1260x0650,1260,650,2,quadratic_tukey25,nearshore_edge_anchored
0.007936507936507936,126.0,79.8357237,0.0,0.0016036090681628623,0.20205474258852066,0.0007936507936507937,2,188602658.7508921,rot_k_1260x0650,1260,650,3,mean_hann,nested_common_center
0.006001879287239867,166.6144805887754,72.47215703584425,7.363566664155755,0.0032072181363257263,0.5343689839188112,0.0007936507936507937,2,2781436685.653935,rot_k_1260x0650,1260,650,3,plane_tukey10,nested_common_center
0.007578821067654594,131.94664329362092,74.01031871810974,5.825404981890259,0.0032072181363257254,0.4231816673986022,0.0007936507936507937,2,1961403747.40337,rot_k_1260x0650,1260,650,3,quadratic_tukey25,nested_common_center
0.007936507936507936,126.0,79.8357237,0.0,0.0016036090681628623,0.20205474258852066,0.0007936507936507937,2,303658550.47170687,nearshore_anchored_1260x0650,1260,650,3,mean_hann,nearshore_edge_anchored
0.00753968253968254,132.6315789473684,79.8357237,0.0,0.0023883539313063907,0.3167711529943213,0.0007936507936507937,2,4254196898.4776573,nearshore_anchored_1260x0650,1260,650,3,plane_tukey10,nearshore_edge_anchored
0.007578821067654594,131.94664329362092,74.01031871810974,5.825404981890259,0.00280915914777466,0.3706591200264352,0.0007936507936507937,2,3296570748.856729,nearshore_anchored_1260x0650,1260,650,3,quadratic_tukey25,nearshore_edge_anchored
0.00802307214571474,124.64053442846293,85.33754156743657,5.501817867436571,0.0013988930169080288,0.17435877323566154,0.0006944444444444445,2,1035055731.2754874,rot_k_1440x0650,1440,650,1,mean_hann,nested_common_center
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0013988930169080297,0.18312781312250567,0.0006944444444444445,2,11548449884.629257,rot_k_1440x0650,1440,650,1,plane_tukey10,nested_common_center
0.007986111111111112,125.21739130434781,79.8357237,0.0,0.0017400864356660857,0.2178890841181881,0.0006944444444444445,2,6849342519.6245985,rot_k_1440x0650,1440,650,1,quadratic_tukey25,nested_common_center
0.00802307214571474,124.64053442846293,85.33754156743657,5.501817867436571,0.0013988930169080288,0.17435877323566154,0.0006944444444444445,2,1035055731.2754874,nearshore_anchored_1440x0650,1440,650,1,mean_hann,nearshore_edge_anchored
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0013988930169080297,0.18312781312250567,0.0006944444444444445,2,11548449884.629257,nearshore_anchored_1440x0650,1440,650,1,plane_tukey10,nearshore_edge_anchored
